Fireplaces,SalePrice,LotArea,BsmtFinSF1
0,194500,7314,724
0,110000,11475,0
0,103000,6240,152
1,236500,5389,1180
1,187500,9590,786
1,222500,11404,252
1,131400,10000,594
0,108000,8978,0
2,163000,10800,390
0,93500,8544,0
1,239900,10463,0
0,179000,10800,1200
0,190000,9313,0
0,132000,9600,0
0,142000,6768,832
0,179000,8450,0
1,175000,12886,444
1,180000,5395,733
2,299800,8963,575
1,236000,8795,300
1,265979,11700,0
1,260400,10593,919
0,98000,8405,0
0,96500,8800,0
0,162000,7750,0
0,217000,9236,1200
1,275500,10240,0
0,156000,7930,439
0,172500,3230,381
0,212000,10769,20
1,158900,11616,438
0,179400,2280,549
1,290000,12257,56
0,127500,9100,612
0,100000,6911,405
0,215200,8640,24
1,337000,9430,1163
1,270000,9549,437
1,264132,14587,0
1,196500,10421,394
0,160000,12508,660
1,216837,9100,24
1,538000,53504,1416
0,134900,7252,685
0,102000,8877,836
1,107000,7819,422
0,114500,10150,456
1,395000,14226,0
0,162000,4500,866
0,221500,11210,20
1,142500,13350,762
2,144000,8400,0
0,135000,10530,975
1,176000,7875,0
0,175900,7153,387
0,187100,16285,0
1,165500,9101,1097
1,128000,6300,0
1,161500,9790,251
0,139000,10800,686
0,233000,10142,656
0,107900,6000,0
0,187500,12205,568
1,160200,3182,16
2,146800,11333,539
1,269790,9920,862
0,225000,9158,0
1,194500,10832,0
1,171000,8400,0
1,143500,8197,0
0,110000,7677,570
2,485000,13518,0
2,175000,7200,569
0,200000,12798,462
0,109900,4800,197
1,189000,8199,648
1,582933,13891,0
0,118000,9000,812
0,227680,12274,0
0,135500,9750,400
1,223500,21384,1309
1,159950,13400,516
0,106000,8100,0
1,181000,10140,663
1,144500,4438,662
0,55993,8712,0
0,157900,9750,608
0,116000,8248,0
0,224900,12137,0
1,137000,11425,486
2,271000,13265,1218
0,155000,8816,504
1,224000,6371,733
0,183000,7226,0
0,93000,6000,0
1,225000,12394,0
1,139500,9900,0
1,232600,11216,0
1,385000,14803,1636
0,109500,6130,784
1,189000,8529,20
0,185000,28698,249
0,147400,2544,0
2,166000,11900,1040
0,151000,3180,0
1,237000,9548,483
0,167000,10004,196
0,139950,7875,572
0,128000,9600,442
0,153500,8100,338
0,100000,1680,330
0,144000,9525,0
0,130500,11767,352
0,140000,12155,156
1,157500,10440,0
0,174900,9020,312
0,141000,8000,0
1,153900,12665,0
2,171000,16647,1390
1,213000,9317,513
1,133500,15523,460
1,240000,45600,0
1,187000,9600,0
0,131500,4435,659
1,215000,3196,0
2,164000,7128,364
1,158000,12095,564
1,170000,17920,306
0,127000,6897,659
0,147000,10970,505
1,174000,8125,0
1,152000,10400,0
1,250000,11029,619
1,189950,7642,0
0,131500,11625,841
0,152000,9672,338
0,132500,7931,1148
0,250580,8640,0
0,148500,8750,828
1,248900,10656,0
0,129000,6970,932
1,169000,14762,0
1,236000,9938,750
0,109500,6600,0
0,200500,8750,505
0,116000,8892,0
1,133000,12144,375
0,66500,5720,0
1,303477,9000,64
0,132250,25286,633
1,350000,8834,1170
0,148000,11782,899
0,136500,7000,646
0,157000,7024,980
1,187500,13758,902
1,178000,9636,0
0,118500,6204,0
0,100000,7150,432
1,328900,5119,1238
0,145000,8393,528
0,135500,16466,0
1,268000,15865,351
1,149500,12160,1024
1,122900,8064,0
1,172500,11184,226
0,154500,8414,663
1,165000,13284,1064
0,118858,7018,0
1,140000,7056,400
0,106500,8765,285
0,142953,7018,0
2,611657,12919,2188
1,135000,6993,465
0,110000,7340,322
0,153000,8712,860
1,180000,7875,0
1,240000,14859,0
0,125500,6173,599
0,128000,9920,354
1,255000,13501,63
1,250000,11500,223
0,131000,8885,301
1,174000,12589,0
0,154300,11600,443
0,143500,9286,196
0,88000,6120,489
0,145000,6270,284
0,173733,3000,294
0,75000,2001,0
0,35311,9000,50
0,135000,17140,1059
1,238000,13125,48
1,176500,11029,528
0,201000,8462,814
0,145900,8777,1084
1,169990,10237,28
1,193000,8012,165
1,207500,10240,625
0,175000,15611,767
1,285000,11999,0
1,176000,9900,552
1,236500,11838,0
1,222000,13006,0
0,201000,8925,16
0,117500,9100,338
1,320000,11670,0
0,190000,8487,20
1,242000,27650,425
0,79900,5825,0
0,184900,10083,833
1,253000,9675,341
0,239799,8760,464
2,244400,24090,0
0,150900,12640,936
1,214000,8755,772
0,150000,7711,1440
0,143000,25000,0
1,137500,14375,111
0,124900,8820,1088
1,143000,8163,748
1,270000,14536,1300
1,192500,14006,0
1,197500,9360,982
0,129000,7200,398
0,119900,7800,641
0,133900,7200,660
1,172000,11075,562
0,127500,9400,945
0,145000,7136,484
1,124000,1300,285
0,132000,7420,417
0,185000,8450,699
0,155000,2572,604
0,116500,7207,696
1,272000,12227,896
1,155000,2308,556
0,239000,11923,0
1,214900,11316,624
1,178900,10237,0
2,160000,9600,428
0,135000,7390,902
0,37900,5925,0
0,140000,10382,513
0,135000,10800,0
0,173000,2268,567
1,99500,7892,0
0,182000,11639,0
0,167500,11414,0
0,165000,2651,641
0,85500,5900,0
0,199900,4274,1106
0,110000,9450,552
0,139000,8816,651
0,178400,12122,867
1,336000,12203,854
1,159895,3182,0
1,255900,11250,0
0,126000,10125,0
0,125000,10880,1040
0,117000,5310,0
1,395192,10159,1646
1,195000,12046,156
0,197000,8125,0
1,348000,9452,1074
1,168000,17671,216
1,187000,9760,536
0,173900,8846,0
1,337500,12456,1172
0,121600,4712,384
0,136500,10659,915
1,185000,11717,0
1,91000,9786,0
0,206000,6762,686
0,82000,10206,0
0,86000,5400,0
1,232000,11957,24
0,136905,11500,0
1,181000,3182,16
0,149900,8385,595
1,163500,12155,1237
0,88000,2217,273
1,240000,12118,0
0,102000,6000,0
1,135000,21286,0
0,100000,9825,0
2,165000,10592,0
0,85000,7200,247
1,119200,11664,336
0,227000,8400,643
1,203000,11883,690
1,187500,5814,1036
1,160000,10784,0
1,213490,3013,16
0,176000,7024,1024
0,194000,7406,684
0,87000,9439,324
1,191000,3182,16
1,287000,15498,1165
0,112500,7700,138
2,167500,9300,697
1,293077,9520,1513
1,105000,9492,368
0,118000,1680,317
0,160000,7082,0
2,197000,15863,523
1,310000,14541,1012
0,230000,8125,986
1,119750,6305,0
0,84000,11500,0
1,315500,12898,1022
1,287000,9240,0
1,97000,1533,0
0,80000,1477,509
1,155000,13125,168
0,173000,9130,400
1,196000,5381,900
1,262280,11839,1085
1,278000,9600,1104
1,139600,13680,0
1,556581,16056,240
0,145000,9245,686
1,115000,21750,0
0,84900,11100,0
0,176485,8993,0
1,200141,11175,0
1,165000,9500,442
1,144500,8562,383
1,255000,11367,932
1,180000,11361,644
1,185850,7052,659
1,248000,29959,595
1,335000,11308,936
1,220000,11275,297
0,213500,4920,616
0,81000,18000,0
0,90000,13600,0
1,110500,6000,397
1,154000,11000,740
0,328000,14000,1201
1,178000,7837,0
0,167900,9760,674
1,151400,3964,837
0,135000,9600,220
0,135000,10152,586
0,154000,11700,298
1,91500,7585,0
0,159500,7950,535
0,194000,8556,0
2,219500,13125,410
1,170000,10800,626
0,138800,15870,75
1,155900,4435,662
0,126000,8775,495
0,145000,11040,656
0,133000,7500,824
1,192000,8749,0
2,160000,8800,553
1,187500,13031,592
0,147000,9069,747
0,83500,1974,334
1,252000,10574,0
0,137500,2522,0
1,197000,3316,1039
0,92900,8544,0
0,160000,2160,510
1,136500,8400,423
0,146000,9230,661
0,129000,5868,248
1,176432,9317,24
0,127000,6882,0
0,170000,3696,0
0,128000,6000,672
1,157000,11880,704
0,60000,8400,290
0,119500,9758,412
0,135000,7000,588
1,159500,8910,655
0,106000,2016,0
2,325000,12256,1032
1,179900,10357,738
1,274725,23257,0
1,181000,8063,0
1,280000,11362,1039
1,188000,8000,219
1,205000,10480,403
0,129900,7100,708
0,134500,8923,643
0,117000,5400,415
1,318000,12085,1004
1,184100,7750,353
0,130000,9764,702
0,140000,13825,0
0,133700,7560,369
1,118400,8263,0
0,212900,10084,24
0,112000,8926,0
0,118000,9405,0
1,163900,9125,0
1,115000,10434,0
1,174000,3684,0
1,259000,14572,1300
1,215000,11796,0
0,140000,7200,936
2,135000,7804,622
0,93500,10712,212
0,117500,9900,0
1,239500,9828,584
1,169000,8773,0
1,102000,6180,0
0,119000,9600,280
0,94000,6342,0
2,196000,9819,1567
1,144000,8731,645
0,139000,7350,852
1,197500,10304,381
1,424870,9965,1150
0,80000,9000,288
0,80000,12180,348
1,149000,6240,0
1,180000,11200,1258
1,174500,12000,275
1,116900,5700,0
0,143000,9000,624
1,124000,8280,0
2,149900,17755,176
1,230000,14115,296
0,120500,5890,538
2,201800,13700,454
1,218000,10768,1157
1,179900,9350,633
1,230000,5001,904
0,235128,11932,0
1,185000,9120,442
1,146000,2280,311
1,224000,14778,728
1,129000,8724,492
0,108959,12900,1198
1,194000,16157,680
0,233170,9541,0
0,245350,10475,0
1,173000,10852,786
2,235000,13728,626
1,625000,35760,1387
1,171000,9880,522
1,163000,9120,662
0,171900,4017,0
1,200500,18030,152
1,239000,16560,503
1,285000,10678,700
0,119500,6951,658
0,115000,3950,468
1,154900,7681,0
1,93000,8335,0
0,250000,11170,1216
1,392500,5587,1480
2,745000,15623,2096
1,120000,10800,821
2,186700,35133,1159
0,104900,9738,392
0,95000,10615,440
1,262000,12461,1456
0,195000,8935,0
1,189000,7500,0
1,168000,32463,1159
0,174000,2645,0
0,125000,9600,0
0,165000,4500,883
0,158000,9364,371
0,176000,8029,0
1,219210,14054,0
1,144000,8850,0
0,178000,9100,0
1,148000,11235,547
0,116050,9353,0
0,197900,10400,0
1,117000,6000,0
1,213000,9750,0
0,153500,10140,788
1,271900,14684,485
0,107000,8900,1056
0,200000,9135,340
0,140000,7763,504
1,290000,10182,1220
1,189000,11218,0
0,164000,12134,427
0,113000,9340,344
0,145000,10246,648
0,134500,10205,784
0,125000,7094,180
0,112000,8930,0
0,229456,8640,936
0,80500,6240,0
0,91500,1680,0
0,115000,7800,312
1,134000,8250,250
1,143000,10496,196
0,137900,10680,756
1,184000,15384,724
0,145000,10482,507
1,214000,14598,0
0,147000,8872,595
1,367294,8769,1540
0,127000,7910,666
1,190000,18890,498
0,132500,7728,803
0,101800,9842,0
0,142000,12160,1000
0,130000,8525,0
0,138887,13132,0
0,175500,2628,0
1,195000,12393,0
0,142500,13072,0
1,265900,9037,428
0,224900,8158,550
0,248328,9849,0
2,170000,10625,885
1,465000,13891,1386
2,230000,11435,0
1,178000,12090,0
0,186500,8125,0
0,169900,12328,539
1,129500,9600,319
0,119000,7200,534
2,244000,11160,1065
1,171750,3136,0
0,130000,9858,510
2,294000,17542,125
1,165400,6931,0
1,127500,6240,425
1,301500,14303,1314
0,99900,4060,0
0,190000,9587,655
0,151000,9750,602
1,181000,24682,0
0,128900,9600,504
2,161500,11250,0
1,180500,13515,0
0,181000,4060,266
0,183900,3735,450
1,122000,10120,0
1,378500,13214,0
2,381000,14100,192
0,144000,11344,460
1,260000,23595,1258
1,185750,9156,0
0,137000,13526,560
1,177000,11512,719
1,139000,5362,0
0,137000,11345,220
1,162000,12936,593
1,197900,17871,528
1,237000,9473,804
0,68400,7500,0
0,227000,9808,788
1,180000,8049,1053
0,150500,8800,532
0,139000,9400,0
1,169000,9638,0
1,132500,6000,0
2,143000,9790,569
0,190000,36500,812
1,278000,5664,1158
1,281000,11065,0
1,180500,14112,1014
0,119500,1680,231
0,107500,6600,0
1,162900,10140,194
0,115000,8172,167
0,138500,8400,1016
0,155000,8700,776
0,140000,3675,547
3,160000,63887,5644
0,154000,7500,340
1,225000,10762,694
2,177500,7500,547
1,290000,10120,740
0,232000,8688,0
0,130000,3363,0
2,325000,13173,1572
1,202500,6955,0
0,138000,8072,746
0,147000,12000,144
0,179200,7153,1200
2,335000,17500,1406
0,203000,8814,925
1,302000,9572,482
1,333168,14774,0
1,119000,8190,732
2,206900,11075,500
1,295493,10226,0
1,208900,4230,0
1,275000,14781,0
0,111000,10215,492
2,156500,8400,189
0,72500,6627,0
1,190000,10186,674
0,82500,5330,280
1,147000,9986,0
0,55000,3636,0
0,79000,4270,544
1,130500,6600,641
2,256000,10440,493
1,176500,9084,0
1,227000,10000,0
0,132500,10780,483
1,100000,8877,690
0,125500,7200,0
0,125000,2368,765
1,167900,9650,686
0,135000,9246,0
0,52500,4118,0
0,200000,13450,700
0,128500,9560,360
0,123000,8294,0
0,155000,13695,814
1,228500,9375,0
1,177000,7558,0
1,155835,11103,0
0,108500,6000,250
1,262500,20781,297
1,283463,15306,80
1,215000,16196,1443
0,122000,5250,259
0,200000,11643,500
1,171000,9247,319
0,134900,6000,0
1,410000,14720,816
1,235000,10316,735
1,170000,10192,0
0,110000,9477,340
1,149900,12537,734
0,177500,2117,378
1,315000,16737,1447
0,189000,9842,0
1,260000,16158,1274
1,104900,12513,0
1,156932,8499,0
0,144152,3180,0
0,216000,7500,533
0,193000,9179,633
1,127000,2665,548
0,144000,4435,685
1,232000,10635,370
0,105000,5400,315
1,165500,9600,831
1,274300,9750,975
2,466500,11400,1282
1,250000,10625,0
1,239000,10991,0
0,91000,6292,384
0,117000,10998,408
0,83000,1953,309
0,167500,9735,0
0,58500,8212,203
2,237500,12925,865
0,157000,7200,0
0,112000,25339,0
0,105000,9060,204
0,125500,5436,735
2,250000,16692,790
1,136000,8520,168
2,377500,14892,1320
1,131000,6000,375
0,235000,9100,1400
0,124000,8944,0
1,123000,7838,769
1,163000,10800,0
1,246578,4045,1070
1,281213,12665,0
2,160000,57200,353
0,137500,6120,0
0,138000,7200,180
1,137450,6171,264
1,120000,6000,0
1,193000,7415,759
1,193879,6762,0
0,282922,15256,929
0,105000,10410,0
1,275000,3842,1373
0,133000,8445,656
0,112000,8780,625
0,125500,7740,0
1,215000,20544,0
0,230000,12420,666
0,140000,9600,120
0,90000,7200,0
1,257000,10994,976
1,207000,13053,0
1,175900,3635,988
0,122500,11340,0
1,340000,16545,781
0,124000,9204,25
1,223000,16381,1110
1,179900,11700,404
1,127500,4043,360
0,136500,4435,686
1,274970,19690,0
1,144000,9503,457
0,142000,10721,0
2,271000,10944,1000
1,140000,10930,580
2,119000,7200,510
1,182900,12546,678
1,192140,21930,0
0,143750,4928,958
0,64500,10800,0
1,186500,10261,0
1,160000,17400,936
1,174000,8400,0
0,120500,9000,616
1,394617,12444,1336
0,149700,7407,600
1,197000,11584,315
1,191000,11526,0
1,149300,4426,697
1,310000,11003,765
1,121000,8854,0
0,179600,8500,0
0,129000,8400,187
0,157900,26142,593
1,240000,10000,1079
0,112000,11767,0
0,92000,1533,553
0,136000,9000,0
1,287090,9262,0
0,145000,3675,547
0,84500,17217,0
0,185000,7500,410
1,175000,7917,0
2,210000,13175,790
2,266500,9042,275
0,142125,9717,49
0,147500,9937,830
